"sp","site","strata","SLA_LEAF","SLA_DISC","LIFETIME","Amass","Rmass","Amax","N_PCT","P_PCT","LT","LAMTUF","MDRBTUF","VEINTUF","LMA_LEAF","LMA","LL","Aarea","Aarea_DISC","Rarea","Rarea_DISC","sp_site_strata","Narea","Parea","LD","SampleID","Run","BagNo","%NPE","%WS","%AS","Lig","%Ash","%NDF","ADF","site2","cell_mass","cell_area","cell_vol","gr","LMAp","LMAs","preLL","site_strata"
"ASTG","PNM","CAN",136.8332879,116.2074414,271,206.9603479,10.20776327,15.125,3.123,0.19669,0.13,0.5417,3.1908,4.827,73.0816320609658,150.381107057531,17.2602739726027,2.13391111084359,17.8095606793043,0.282399999938372,0.878408744485101,"ASTG_DRY_CAN",0.228233936926396,0.0143744262100714,0.661946223033157,NA,1,14,69.69,12.39,9.58,8.34,0,30.31,17.92,"DRY",9.58,8.24387826165494,0.0634144481665764,1,122.328644582779,28.0524623822327,29.4503188114068,"DRY_CAN"
"ASTG","PNM","UNDER",277.2232845,317.6323744,278,124.380847,10.43191219,4.486666667,2.692,0.1825,0.08,0.4049,1.4134,4.3196,36.0720060655655,125.154815630852,10.158904109589,20.5624999992851,3.91587435742192,0.16165000004129,0.328427233203342,"ASTG_DRY_UNDER",0.0971058403285024,0.00658314110696571,0.393536711225114,NA,1,15,68.92,12.57,10.95,7.35,0.2,31.08,18.51,"DRY",11.16,3.51349575781782,0.0439186969727227,2,73.7186971969557,51.4360859771852,12.4350292961789,"DRY_UNDER"
"BONM","PNM","CAN",178.5772418,174.8646688,179,138.1741408,25.09010247,7.7375,2.771,0.18248,0.16,0.3353,2.2009,2.1801,55.9981770308651,90.6639893856549,34.5205479452055,12.8999999972954,7.90177579886281,1.94999999969639,1.43482972530584,"BONM_DRY_CAN",0.155170948552527,0.0102185473445923,0.357419257011168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DRY",NA,NA,NA,1,23.2409581751161,67.4230306359993,14.3079901425599,"DRY_CAN"
"BROU","PNSL","CAN",69.07996146,78.46942293,324,97.05734586,9.256714836,14.05,1.323,0.09005,0.3025,1.71015,7.914375,9.55935,144.759779661869,98.825926254394,44.9753424657534,7.84833333325363,12.3688109630399,1.18999999988419,1.17965883911974,"BROU_WET_CAN",0.191517188492653,0.0130356181585513,0.421283220970788,NA,1,18,52.17,7.63,19.23,20.81,0.17,47.83,40.2,"WET",19.39,24.7102620052363,0.0816868165462358,3,34.2609666897714,64.5649539223555,18.9162959912502,"WET_CAN"
"BROU","PNSL","UNDER",195.0328283,236.4304775,1304,89.94263931,9.380103876,4.611666667,1.384,0.11433,0.24375,0.3408,3.8958,NA,51.2734193887502,30.4383226981149,10.6520547945205,12.4500000008948,3.80418972465172,0.480949999944189,0.396738355189424,"BROU_WET_UNDER",0.0709624124340302,0.00586209003871581,0.17352094983457,NA,1,17,51.96,7.98,22.48,17.42,0.16,48.04,40.06,"WET",22.64,9.57575361662077,0.0392851430425467,4,10.7741734764694,19.6641492213535,4.93316050596678,"WET_UNDER"
"CAL2","PNSL","CAN",42.94119843,52.4750473,502,57.21914691,2.973677991,13.325,1.01,0.04967,0.44375,1.864875,5.90885,NA,232.876593239505,31.5754381539941,8.33424657534247,1.92666666650806,10.9040677148661,0.515450000008192,0.566684194489521,"CAL2_WET_CAN",0.235205359171901,0.0115669803862062,0.429446230677445,NA,1,20,52.79,3.47,20.55,23.2,0,47.21,43.75,"WET",20.55,39.1614701793704,0.0882512004042149,3,19.9597893479729,11.6156487343332,9.95693640010089,"WET_CAN"
"CAL2","PNSL","UNDER",157.8754266,211.9113089,1050,49.54657139,5.738771758,3.138333333,1.101,0.05415,0.285,0.66905,3.663575,NA,63.341079833383,137.766821903718,3.02465753424658,14.1000000057971,2.33808056998887,0.484645000149518,0.270810075582521,"CAL2_WET_UNDER",0.0697385288965547,0.00342991947297769,0.165577379897188,NA,1,19,51.49,3.43,25.11,19.93,0.05,48.51,45.08,"WET",25.15,11.8681726475807,0.0416427110441427,4,108.036736529502,29.730077657031,12.1339508333938,"WET_UNDER"
"CARG","PNSL","CAN",72.46290136,77.87988892,690,29.36559077,5.644860016,4.0525,1.457,0.10551,0.2875,0.6463,5.7371,4.77025,138.00165066976,47.1895532706985,12.2301369863014,21.0499999987229,3.77062566180147,0.158399999986565,0.72481613601151,"CARG_WET_CAN",0.20106840502584,0.0145605541621664,0.44661862231701,NA,1,21,68.82,3.27,12.47,15.08,0.36,31.18,27.91,"WET",12.83,16.4740861574408,0.0573011692432724,3,17.1930182704585,29.9965289181661,5.05481877957672,"WET_CAN"
"CAS3","PNSL","CAN",80.97704677,85.84307894,272,124.2997668,3.769481527,15.35,2.043,0.10515,0.3375,0.45555,3.971275,3.289225,123.491784386792,49.8660180628271,19.6931506849315,13.8250000029258,14.4798821681221,1.67000000010447,0.439113038994638,"CAS3_WET_CAN",0.252293715502216,0.0129851611282712,0.345160378629234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WET",NA,NA,NA,3,12.6169244579581,37.2490924080945,7.5182373499482,"WET_CAN"
"CAS4","PNM","CAN",115.6205288,116.8281394,180,197.1330016,10.49256299,17.05,2.41,0.17116,0.35,0.5128,3.3586,3.2511,86.4898310342272,68.3512890825511,9.5013698630137,15.0500000024809,16.8737602612201,0.212000000063818,0.898119497912675,"CAS4_DRY_CAN",0.208440492792488,0.0148035994798183,0.244559476151587,NA,1,22,53.48,12.5,16.81,15.79,1.41,46.52,34.01,"DRY",18.22,15.5955577941867,0.0445587365548191,1,34.2943273342255,34.0569616129943,7.73976987097302,"DRY_CAN"
"CAS4","PNM","UNDER",527.4770174,640.6920992,129,201.7599591,13.92539326,3.825,2.712,0.2109,0.28,0.1869,1.7105,1.3536,18.9581719584509,86.0530089943104,8.35068493150685,12.8999999977861,3.14909391503231,1.19000000001612,0.217349227146518,"CAS4_DRY_UNDER",0.0514145623513189,0.0039982784660373,0.0557432903556644,NA,1,23,51.27,10.96,25.98,9.78,2.01,48.73,37.77,"DRY",27.99,4.36871315175413,0.0156025469705505,2,36.3928118876693,49.6601955136242,13.4286898598625,"DRY_UNDER"
"CAYG","PNSL","CAN",85.99670123,104.0807135,525,70.60329171,15.04942271,8.21,2.284,0.14497,0.24,0.7212,3.4757,5.8828,116.283530146753,17.7511155296699,10.158904109589,14.6000000016714,6.78351342297437,1.81499999972062,1.44593769622842,"CAYG_WET_CAN",0.265591582855183,0.0168576233653748,0.400330332734188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WET",NA,NA,NA,3,4.15614907473714,13.5949659897251,2.64697873115807,"WET_CAN"
"CECI","PNSL","CAN",81.72130224,123.4032786,231,119.108798,4.02068807,14.575,2.177,0.1177,0.28375,0.576275,4.350825,2.66885,122.367115132746,101.220722674611,17.9013698630137,4.48666666742418,9.65199623148424,0.491999999974548,0.32581695686001,"CECI_WET_CAN",0.266393209643988,0.0144026094511242,0.285586340563391,NA,2,25,59.64,6.97,17.17,15.48,0.74,40.36,33.39,"WET",17.91,14.5133907325538,0.0511485135949034,3,60.1725426907153,41.048178379843,19.8160364593306,"WET_CAN"
"CECL","PNM","CAN",113.6589317,110.2346096,89,233.7111783,21.25422023,20.5625,2.728,0.19725,NA,NA,NA,NA,87.982526761687,69.7809282744196,4.17534246575342,6.34399999998704,21.2012524150129,0.169949999987231,1.92808958158636,"CECL_DRY_CAN",0.240016333005882,0.0173545534037428,NA,NA,2,26,56.61,17.84,11.6,10.92,3.03,43.39,25.54,"DRY",14.62,13.2626223769926,NA,1,57.063405617899,12.7175226456649,7.4500431283828,"DRY_CAN"
"CECP","PNM","CAN",137.9364469,146.3030198,114,248.9752867,11.78896833,18.05,2.984,0.16539,NA,NA,NA,NA,72.4971552098171,63.7297327874823,3.74794520547945,12.4500000010482,17.0177817956427,0.186500000002214,0.80579118230887,"CECP_DRY_CAN",0.216331511146094,0.0119903045001517,NA,NA,2,27,62.51,9.95,12.51,14.23,0.8,37.49,27.54,"DRY",13.31,9.09755657688755,NA,1,44.9488473206516,18.7808707888412,6.10649451807875,"DRY_CAN"
"CES1","PNSL","CAN",112.2480727,136.8363064,309,171.458931,13.35752065,15.275,1.59,0.09786,0.21,1.978375,12.7547,5.811775,89.0883893100465,35.9228981692434,3.51780821917808,4.61166666627272,12.5302220960855,1.28499999992509,0.97616787542871,"CES1_WET_CAN",0.141650539002974,0.00871818977788115,0.348000094944448,NA,2,29,50.73,4.96,23.79,20.42,0.1,49.27,44.31,"WET",23.89,17.458816763268,0.0831372226822287,3,19.9917465836859,15.9311444971989,8.06229531645881,"WET_CAN"
"CES1","PNSL","UNDER",180.3529412,225.7777778,971,38.48571451,0.913487647,2.133911111,1.189,0.07503,NA,NA,NA,NA,55.4468362615203,87.9507967007528,15.1890410958904,5.39749999831537,1.70458381179089,0.0510999999813914,0.0404595906603878,"CES1_WET_UNDER",0.0659262883149476,0.00416017612470187,NA,NA,2,28,37.46,5.31,31.29,25.83,0.11,62.54,57.24,"WET",31.41,13.9119094474496,NA,4,72.6935092193549,15.2572867868045,11.0363778426866,"WET_UNDER"
"CHRC","PNM","CAN",73.0393627,81.35756601,152.5,82.89967666,3.794394892,11.35,1.702,0.10115,0.31,1.0472,4.1958,5.38985,136.912476099685,78.8241992208613,27.7479452054795,16.9000000054922,10.1895472942013,1.04499999947627,0.466385006101782,"CHRC_DRY_CAN",0.233025034321664,0.0138486969574832,0.396497413801244,NA,2,30,55.41,6.62,13.8,24.04,0.13,44.59,37.96,"DRY",13.92,17.1096564003513,0.0551924400011332,1,19.4515749118712,59.3726236958369,10.4381578023281,"DRY_CAN"
"CHRC","PNM","UNDER",177.7428065,213.9304232,365,139.4984793,6.48583501,7.848333333,1.894,0.13376,0.2,0.7403,3.7549,5.252,56.2610673079476,51.1864198251392,1.97260273972603,5.98166666565197,6.52074058534373,0.745999999463581,0.303174972170111,"CHRC_DRY_UNDER",0.106558461481253,0.00752548036311107,0.233720848358514,NA,2,31,53.69,12.26,15.83,16.95,1.26,46.31,34.05,"DRY",17.1,7.99325301386119,0.0399662650693059,2,37.521295689048,13.6651240238397,8.32300567966449,"DRY_UNDER"
"CLU?","PNSL","CAN",58.06658191,66.49771501,421,66.66043603,7.461555775,11.48,1.021,0.0661,0.41625,0.518875,5.061125,NA,172.21609523184,59.5726517580494,7.0027397260274,6.54333333109501,10.0244701671291,1.03500000034346,1.12207701781601,"CLU?_WET_CAN",0.175832633231709,0.0113834838948246,0.361275932870946,NA,2,32,70.03,11.28,10.9,7.68,0.11,29.97,18.69,"WET",11.01,16.5569598870342,0.0397764802090911,3,30.0213877784009,29.5512601754289,11.0182357541315,"WET_CAN"
"COCP","PNSL","CAN",108.4053756,126.3764562,445,139.8429345,11.66441841,12.9,2.097,0.09513,0.155,0.6929,3.674975,4.890425,92.2463479753858,84.3966720420707,12,11.4799999995385,11.0655844217287,0.355000000077765,0.922989832183631,"COCP_WET_CAN",0.193440591704384,0.00877539508289845,0.51050750252212,NA,2,33,55.41,8.25,16.95,19.27,0.12,44.59,36.34,"WET",17.07,13.5072627554815,0.0871436306805259,3,41.7275341565039,42.6691371890318,11.0160211976813,"WET_CAN"
"COMF","PNM","CAN",124.4205919,143.3056316,154,197.5176897,23.63991246,15.875,2.356,0.15729,NA,NA,NA,NA,80.3725480428292,80.8896778702694,4.24109589041096,24.5999999940559,13.7829677378848,0.555499999930205,1.64961503578482,"COMF_DRY_CAN",0.189357723188906,0.0126417980816566,NA,NA,2,34,63.28,13.56,9.92,11.22,2.02,36.72,23.15,"DRY",11.93,8.32486474313826,NA,1,33.0144300387488,47.8752473237533,7.76048323630532,"DRY_CAN"
"CORA","PNM","CAN",105.7057487,118.2462252,175,222.510601,7.616099192,21.05,2.566,0.15607,0.243333,0.7111,2.076033333,3.137766667,94.6022342491577,48.7659521731962,5.88493150684932,9.03374999797375,18.8175648418077,1.14450000009243,0.644088145656932,"CORA_DRY_CAN",0.242749333083339,0.014764570699266,0.347545527455673,NA,2,35,54.85,14.84,17.36,12.08,0.87,45.15,30.31,"DRY",18.23,15.4169826302413,0.0633575496551692,1,21.7071865174447,27.0587634375806,7.96867905916231,"DRY_CAN"
"CORA","PNM","UNDER",303.0459105,402.8590957,243,181.2719621,7.318558738,5.981666667,2.752,0.1433,0.125,0.200833333,0.9584,1.071666667,32.9983004340855,59.3917942919117,7.06849315068493,18.0500000032986,4.49963682177823,0.210500000020219,0.181665471032332,"CORA_DRY_UNDER",0.0908113227946034,0.00472865645220446,0.198580597667762,NA,2,36,47.56,10.25,21.67,17.26,3.26,52.44,42.19,"DRY",24.93,6.18826787482162,0.049506142998573,2,29.7832817082261,29.6085125669792,6.94475518487325,"DRY_UNDER"
"CORB","PNSL","CAN",85.08030934,95.02157189,289,188.0274836,4.385464545,22.1,1.842,0.093055,0.27,1.196725,4.5094,4.8573,117.536008949353,73.5773798883119,7.03561643835616,10.2699999990886,19.7878734123307,0.0559999999932473,0.461523047637725,"CORB_WET_CAN",0.216501328484709,0.0109373133127821,0.389775040555131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WET",NA,NA,NA,3,59.5611871836546,14.0161924757832,6.15060088011009,"WET_CAN"
"CORB","PNSL","UNDER",301.833216,257.8559899,318,90.44935374,19.4833341,2.996666667,2.31,0.1432,NA,NA,NA,NA,33.1308798035005,29.6045350450675,5.91780821917808,7.61749999982056,3.50774685416761,0.155499999961282,0.7555897424588,"CORB_WET_UNDER",0.0765323323460861,0.00474434198786127,NA,NA,2,37,47.16,10.85,22.44,18.08,1.46,52.84,41.99,"WET",23.91,9.27261763795854,NA,4,17.7915154477468,11.8130195972934,4.81278459788506,"WET_UNDER"
"CYMR","PNSL","CAN",140.6555915,184.5953645,101,83.97138811,12.89811774,5.97,2.071,0.1251,0.27,0.45,2.504,2.5284,71.0956449960967,96.3221855664185,8.28493150684931,14.949999997889,4.54894348714808,1.09950000017535,0.698723815461791,"CYMR_WET_CAN",0.147239080786916,0.0088940651890117,0.200639041708098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WET",NA,NA,NA,3,38.1487796548004,58.1734057607922,12.3180835433189,"WET_CAN"
"DENA","PNSL","UNDER",335.5635492,288.7708508,1246.5,105.4228817,10.15079736,3.141666667,1.694,0.07218,0.2225,0.432075,2.497975,4.3524,29.8006145895181,41.7879433747542,6.60821917808219,15.1249999964373,3.65074526767298,0.705000000015582,0.351517382446276,"DENA_WET_UNDER",0.0504822411146437,0.00215100836107142,0.155638355118629,NA,2,38,56.1,11.63,20.67,11.53,0.07,43.9,32.27,"WET",20.74,7.18216535448182,0.0322793948516037,4,15.5711240374827,26.2168192262791,6.09873454502892,"WET_UNDER"
"DIOG","PNM","UNDER",180.345826,188.3374725,213,129.1877267,8.648584276,7.163333333,1.755,0.12587,NA,NA,NA,NA,55.4490238105095,83.0545874648243,13.841095890411,8.97249999863958,6.85937455702025,0.678999999982954,0.459206771822851,"DIOG_DRY_UNDER",0.0973130367874441,0.00697936862702883,NA,NA,2,39,45.31,18.88,17.96,17.69,0.15,54.69,35.81,"DRY",18.12,9.62102748830295,NA,2,39.4216897863485,43.6328969850042,14.7179317183384,"DRY_UNDER"
"DIOW","PNSL","CAN",197.6215408,160.9787148,169,254.4377337,38.53620045,12.875,2.619,0.1547,0.19,0.3452,2.2197,2.9152,50.601771241731,105.239260949885,8.94246575342466,17.049999999654,15.8056755525793,0.357999999932513,2.39386930737255,"DIOW_WET_CAN",0.132526038882093,0.00782809401109578,0.326947441546902,NA,2,40,54.56,9.23,12.06,23.54,0.62,45.44,36.21,"WET",12.67,7.87060576035857,0.0414242408439925,3,51.8854534027392,53.353801551249,11.2158324752181,"WET_CAN"
"DOL1","PNM","UNDER",210.1494049,243.5156704,302,86.40643032,3.509495062,4.111666667,1.668,0.09318,NA,NA,NA,NA,47.5851930428188,85.8916656237629,42.8712328767123,13.3999999992324,3.54829034936718,1.87000000018476,0.144117832591031,"DOL1_DRY_UNDER",0.0793721019954218,0.00443398828772986,NA,NA,2,41,49.2,15.25,15.41,15.36,4.78,50.8,35.56,"DRY",20.2,8.29515405181908,NA,2,21.9190993233299,63.9725583076724,15.2922677362663,"DRY_UNDER"
"DOL2","PNM","CAN",120.2180275,129.7101412,150.5,100.3519985,13.93326939,8.3475,1.422,0.0928,0.3325,0.868275,4.750725,3.535075,83.1821999408533,128.40285391614,7.59452054794521,5.78750000133935,7.73663474356005,0.0807999999989506,1.0741850452939,"DOL2_DRY_CAN",0.118285088315893,0.00771930815451119,0.231864584308423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DRY",NA,NA,NA,1,116.050529471672,12.3523242803119,10.2932267074129,"DRY_CAN"
"DOL2","PNSL","UNDER",235.3774904,244.091749,748,45.34939648,4.209255661,1.926666667,1.214,0.08485,0.18,0.942875,1.883575,5.04755,42.4849461306008,75.2393227991756,27.1561643835616,16.4924999952394,1.85788322078843,0.326000000033921,0.172445634817423,"DOL2_WET_UNDER",0.0515767246025493,0.00360484767918147,0.227601120411307,NA,2,42,51.07,14.25,16.66,17.9,0.12,48.93,34.68,"WET",16.78,6.87446424090312,0.0381914680050173,4,24.9900744517948,50.249247231175,10.6232733066621,"WET_UNDER"
"DOLD","PNSL","CAN",89.96076187,95.89693966,274.5,84.58560635,1.454215716,9.4025,1.328,0.06865,0.345,0.4732,4.606875,4.403425,111.15957437589,73.415800759049,8.81095890410959,2.55833333318953,8.8204698345845,1.35000000028785,0.151643600010165,"DOLD_WET_CAN",0.147619914771182,0.00763110478090485,0.302256853546569,NA,2,43,56,4.97,13.72,25.13,0.18,44,39.03,"WET",13.9,14.4947274118257,0.0420137026429731,3,47.7721894754663,25.6436041680503,24.3415256972937,"WET_CAN"
"DOLD","PNM","UNDER",220.3259944,289.9661438,259.5,86.88188379,3.489963751,3.943333333,1.532,0.10836,0.17,0.1986,3.0624,3.5781,45.3872908969837,87.2557038689327,14.0383561643836,6.02500000003689,2.99627682912959,0.730499999859388,0.120357628834322,"DOLD_DRY_UNDER",0.069533329654179,0.00491816684159715,0.202863439989523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DRY",NA,NA,NA,2,47.0332669328852,40.2224260653577,18.2941090260793,"DRY_UNDER"
"DOLO","PNM","CAN",141.3323433,164.8211202,214,127.6761056,0.722208274,9.03375,1.639,0.0986,NA,NA,NA,NA,70.755212618059,67.9804169112118,11.1780821917808,13.350000000401,7.74634376013663,0.840999999682265,0.0438177020714121,"DOLO_DRY_CAN",0.115967793480999,0.00697646396414061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DRY",NA,NA,NA,1,24.8050139647539,43.1754027975655,9.40483050749307,"DRY_CAN"
